state,date,new_cases,new_deaths,total_cases,new_deaths,people_vaccinated_per_hundred
KS,2021-11-28,825,0,464463,0,65.7
MA,2021-08-06,1206,2,726395,2,73.2
PR,2020-03-23,0,1,1,1,
WV,2020-08-30,143,1,10110,1,
FL,2020-04-13,922,42,20124,42,
MA,2021-10-16,996,3,834307,3,78.7
FL,2020-10-07,3267,75,709168,75,
MA,2021-07-11,110,0,711050,0,71.2
AS,2020-06-23,0,0,0,0,
GA,2020-07-19,3193,5,145038,5,
MP,2020-08-08,0,0,47,0,
MA,2021-01-30,4108,59,521360,59,0.0
KS,2021-09-23,1263,0,403194,0,59.3
AR,2020-10-22,1202,21,102798,21,
FL,2020-10-17,2477,72,737637,72,
MP,2021-10-22,0,0,290,0,63.6
OK,2020-07-13,462,1,29066,1,
AK,2020-12-29,207,2,45033,2,0.0
WV,2020-02-07,0,0,0,0,
PW,2021-05-07,0,0,0,0,
TX,2020-04-22,873,31,21069,31,
MP,2021-06-17,0,0,183,0,49.2
CO,2021-08-20,1809,11,604872,11,62.4
AS,2020-02-04,0,0,0,0,
MA,2020-10-02,761,15,133631,15,
WV,2020-09-25,247,5,14953,5,
FL,2020-03-02,2,0,2,0,
AS,2021-07-09,0,0,0,0,48.0
OK,2021-03-05,364,7,435087,7,19.2
GA,2020-02-05,0,0,0,0,
PR,2021-02-26,267,5,101484,5,11.0
AK,2021-04-22,218,0,64225,0,40.6
FL,2022-02-25,2720,98,5802964,98,78.0
AK,2020-10-28,385,3,14165,3,
FL,2021-06-11,1617,21,2303835,21,50.8
MA,2021-01-14,5955,70,454402,70,0.0
MP,2021-06-22,0,0,183,0,50.1
CO,2021-11-17,4113,26,806376,26,69.8
PR,2022-02-16,547,5,470292,5,94.7
PW,2020-04-09,0,0,0,0,
PR,2020-09-13,252,3,19176,3,
PR,2021-10-28,151,2,184199,2,81.9
HI,2021-09-08,371,0,66925,0,74.9
TX,2021-07-23,7191,53,3056111,53,50.4
TX,2021-01-25,6319,316,2246845,316,0.0
FL,2021-01-28,10863,159,1661508,159,0.0
UT,2020-05-08,247,5,6041,5,
CO,2021-09-08,1624,16,637415,16,64.0
